week_num,device_id
w1,fd7c28f9fd8045f2
w2,fd7c28f9fd8045f2
w3,fd7c28f9fd8045f2
w4,fd7c28f9fd8045f2
w5,fd7c28f9fd8045f2
w6,231d91be38352d7a
w7,306243851b716bf6
w8,149f7dd1efe25ebc
w9,191a909000d7123d
w10,191a909000d7123d
w11,839d5042ee4d8988
w12,5109246885c54360
w13,124bed219eafda9f
w14,51f6c4c889cb71be
w15,839d5042ee4d8988
w16,191a909000d7123d
w17,839d5042ee4d8988
w18,31a0751a273226c0
w19,191a909000d7123d
w20,35d78153ec0ca97e
w21,12a59aea3fe77a5f
w22,191a909000d7123d
w23,124bed219eafda9f
w24,d6e21bdbae6d52bc
w25,d41979e05b99805
w26,ebf729078fe8dee8
w27,a6137d1412146164
w28,180866087d7dd708
w29,d32e84f7bb1f9631
w30,fc1c289ff4c82eae
w31,a0b7467c6857475d
w32,92db57a0aeb3ee8b
w33,2d83793bcd0a55b9
w34,b4e159960b1cc6e
w35,ef892177dd321b8a
w36,bfd2da1a0df8dda5
w37,4c37523b384902e7
w38,6b5a1ba54893478
w39,7a2f9d51a3fe6d43
w40,46c9a936f7358e71
w41,509c82f847421070
w42,ffe3f42c388ac838
w43,fffd1689d69e4963
w44,ffedb2a5b3b4838
w45,fffd1689d69e4963
w46,ffedb2a5b3b4838
w47,ffedb2a5b3b4838
w48,ffedb2a5b3b4838
w49,fff444dcd8f9808f
w50,ffedb2a5b3b4838
w51,ffedb2a5b3b4838
w52,ffedb2a5b3b4838
w53,ffedb2a5b3b4838
w54,fffe76c3a948cdfb
w55,fffe76c3a948cdfb
w56,fffe76c3a948cdfb
w1,6.73E+14
w2,5ff4cd01b5eae601
w3,1402081a023d5c18
w4,45b649baf6882a4a
w5,c92f828ffdd1c1c0
w6,7c8de50e4a84f1ee
w7,eff8ecf5cb54ffe7
w8,b50740442eb78a75
w9,e85d8cc04adae6cc
w10,cf8dfdbbb526c506
w11,9ff0a9d7c06890bc
w12,7fc05d298fb1f325
w13,a0aeac67b91f108b
w14,b4d54cdce883c06a
w15,797ea3e69fa3b01
w16,f150634b99c476db
w17,25352c0bce12b47e
w18,e9b186c461b36aee
w19,8323d964b65ddec5
w20,1da71c1e743906ca
w21,e1fda013825db20f
w22,9f9a7e607cd27078
w23,b53331bed3d73e67
w24,cb89c01f7b28ea2b
w25,809a90d4199f84a8
w26,3c6b78a53758e511
w27,7cb5c60d9da516a4
w28,887b8e476d5ed9a
w29,83731b406f4276
w30,989ebb14ec31bd30
w31,859df8c70e93e30d
w32,3097ffc5f7125db2
w33,fe83d7f152facaa4
w34,83ee3b2ce878c948
w35,1d1a12081db6768a
w36,c8e9a62ca4ce6d33
w37,7fc05d298fb1f325
w38,1bb8210596b0b194
w39,cc4dc1ac73dfe348
w40,6627cf8c2c835bff
w41,3c8f0c8cf73891b
w42,b4e556d74fc46016
w43,ad576665529c0d7e
w44,b03f431a2c140680
w45,ae2c7d7c777358ac
w46,bb0f0ea738decb20
w47,ba41adb7a1568fc5
w48,bd978de5c78a1e7f
w49,bcd8431a4069ef3a
w50,bc5171f7f40e4ba3
w51,bc1a7fed50193f41
w52,bb1e4d0008cbabf
w53,bb2e76bb3174a0be
w54,bd0228ee50f09d79
w55,bb4370c7306bb336
w56,b81f04d72ef2e150
w1,1.56E+22
w2,7cd4b3218dbffa0b
